epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1879.35,1.72135,5.16645,2.06754,0.74576,0.6779,0.7563,0.38152,1.61408,2.82487,2.02693,0.000342057,0.000342057,0.000342057
65,1908.05,1.73379,5.13073,2.08408,0.7398,0.67715,0.7594,0.40128,1.57888,2.7346,2.03593,0.000333058,0.000333058,0.000333058
66,1938.07,1.73363,5.09618,2.06614,0.75875,0.70264,0.77141,0.43294,1.51135,2.80786,1.95904,0.000324058,0.000324058,0.000324058
67,1967.99,1.7363,5.11961,2.0775,0.72369,0.65186,0.74846,0.3835,1.5416,2.88216,1.94501,0.000315059,0.000315059,0.000315059
68,1995.08,1.70818,5.03971,2.05586,0.69725,0.67666,0.76332,0.37325,1.58603,2.93819,1.99537,0.00030606,0.00030606,0.00030606
69,2025.15,1.72223,5.05808,2.05999,0.75936,0.73538,0.78039,0.39179,1.59831,2.9712,2.04375,0.000297061,0.000297061,0.000297061
70,2055.42,1.73273,5.08428,2.07837,0.73387,0.68316,0.77049,0.40137,1.56804,2.68365,2.00213,0.000288062,0.000288062,0.000288062
71,2083.25,1.70599,5.1123,2.06333,0.82164,0.68158,0.78124,0.39555,1.54463,2.78046,1.9264,0.000279063,0.000279063,0.000279063
72,2112.16,1.70316,5.09879,2.04826,0.74899,0.71688,0.79586,0.38939,1.58892,2.77894,1.93851,0.000270064,0.000270064,0.000270064
73,2143.14,1.74314,5.07245,2.07243,0.75484,0.71126,0.81085,0.42267,1.53284,2.6976,1.95614,0.000261065,0.000261065,0.000261065
74,2173.1,1.69961,5.02489,2.04803,0.74213,0.74129,0.80214,0.40872,1.53248,2.66771,1.93955,0.000252066,0.000252066,0.000252066
75,2200.77,1.69471,5.0447,2.04808,0.80233,0.75147,0.82153,0.41811,1.58657,2.62937,2.04624,0.000243067,0.000243067,0.000243067
76,2230.81,1.69741,4.92543,2.04393,0.82714,0.67005,0.78987,0.44052,1.47324,2.56058,1.85876,0.000234068,0.000234068,0.000234068
77,2261.05,1.70017,4.93309,2.03381,0.75165,0.73531,0.79788,0.41308,1.54955,2.65209,1.95202,0.000225068,0.000225068,0.000225068
78,2289.44,1.7003,4.9424,2.03995,0.78726,0.70736,0.79923,0.42569,1.57697,2.52217,2.05592,0.000216069,0.000216069,0.000216069
79,2316.97,1.72834,4.95435,2.05277,0.78066,0.70817,0.79717,0.43513,1.51197,2.65166,1.93301,0.00020707,0.00020707,0.00020707
80,2346.92,1.71029,4.98588,2.0528,0.71576,0.71163,0.78998,0.42225,1.55086,2.61658,1.96919,0.000198071,0.000198071,0.000198071
81,2376.41,1.7049,4.99094,2.04307,0.73745,0.68934,0.79339,0.43175,1.47871,2.57803,1.89802,0.000189072,0.000189072,0.000189072
82,2404.12,1.6709,4.91355,2.0367,0.87023,0.64348,0.79936,0.42243,1.55123,2.64418,2.00477,0.000180073,0.000180073,0.000180073
83,2433.64,1.69516,4.9287,2.03455,0.81767,0.71218,0.81647,0.43948,1.54484,2.66612,2.04875,0.000171074,0.000171074,0.000171074
84,2464.24,1.70157,4.91675,2.0412,0.81975,0.68161,0.79179,0.43514,1.57665,2.66921,2.10871,0.000162075,0.000162075,0.000162075
85,2495.34,1.70297,4.90568,2.04298,0.8395,0.68562,0.80501,0.41597,1.60907,2.64047,2.11555,0.000153076,0.000153076,0.000153076
86,2524.05,1.70088,4.8845,2.04683,0.85847,0.67047,0.79837,0.42378,1.59257,2.66198,2.08045,0.000144077,0.000144077,0.000144077
87,2553.5,1.68797,4.98425,2.03117,0.85977,0.66123,0.80011,0.42521,1.54952,2.60023,2.02117,0.000135077,0.000135077,0.000135077
88,2584.3,1.68029,4.81648,2.02573,0.80066,0.70659,0.78927,0.42939,1.52445,2.5236,1.98736,0.000126078,0.000126078,0.000126078
89,2615.26,1.69037,4.78772,2.02626,0.75993,0.73049,0.79575,0.42727,1.48174,2.54672,1.9328,0.000117079,0.000117079,0.000117079
90,2642.44,1.69137,4.88668,2.02256,0.75219,0.75136,0.80452,0.43749,1.46998,2.53248,1.87989,0.00010808,0.00010808,0.00010808
91,2672.1,1.52061,4.2164,1.95991,0.79321,0.73634,0.8072,0.42457,1.49997,2.61693,1.9057,9.9081e-05,9.9081e-05,9.9081e-05
92,2701.41,1.50526,4.10481,1.96011,0.7505,0.67778,0.7924,0.426,1.49137,2.585,1.89492,9.00819e-05,9.00819e-05,9.00819e-05
93,2727.16,1.47735,4.0839,1.9504,0.82997,0.68201,0.80289,0.42304,1.55928,2.56773,2.03076,8.10828e-05,8.10828e-05,8.10828e-05
94,2756.66,1.50596,4.03985,1.96356,0.84424,0.67731,0.80778,0.43412,1.52068,2.57236,1.97279,7.20837e-05,7.20837e-05,7.20837e-05
95,2783.5,1.49448,3.97022,1.95787,0.81137,0.68644,0.79643,0.4375,1.49212,2.55675,1.95614,6.30846e-05,6.30846e-05,6.30846e-05
96,2810.88,1.478,3.93609,1.93825,0.82838,0.66794,0.80124,0.43307,1.52571,2.54027,1.97908,5.40855e-05,5.40855e-05,5.40855e-05
97,2839.41,1.47789,3.89813,1.94158,0.77788,0.67608,0.80471,0.42467,1.5364,2.52209,2.01271,4.50864e-05,4.50864e-05,4.50864e-05
98,2865.33,1.48844,3.90463,1.95002,0.82373,0.68271,0.80887,0.43186,1.52423,2.49206,1.98149,3.60873e-05,3.60873e-05,3.60873e-05
99,2894.12,1.48164,3.91012,1.93382,0.75678,0.71274,0.80134,0.42798,1.51832,2.49381,1.97164,2.70882e-05,2.70882e-05,2.70882e-05
100,2921.65,1.488,3.90342,1.94126,0.82646,0.64386,0.7965,0.43423,1.50712,2.48896,1.96903,1.80891e-05,1.80891e-05,1.80891e-05
